Original: whale | Swapped: al->in | Result: whine
Original: fakeries | Swapped: ak->in | Result: fineries
Original: limos | Swapped: mo->ne | Result: lines
Original: kazan | Swapped: az->or | Result: koran
Original: bride | Swapped: id->ok | Result: broke
Original: bride | Swapped: id->ut | Result: brute
Original: shiners | Swapped: hi->in | Result: sinners
Original: flaked | Swapped: ak->ut | Result: fluted
Original: flaked | Swapped: la->or | Result: forked
Original: nohitter | Swapped: hi->ma | Result: nomatter
Original: nolan | Swapped: la->me | Result: nomen
Original: nolan | Swapped: la->wi | Result: nowin
Original: tinian | Swapped: ia->me | Result: tinmen
Original: inarow | Swapped: ar->fl | Result: inflow
Original: stile | Swapped: il->ok | Result: stoke
Original: stile | Swapped: il->or | Result: store
Original: walkingout | Swapped: al->or | Result: workingout
Original: binchy | Swapped: in->ut | Result: butchy
Original: started | Swapped: ar->il | Result: stilted
Original: started | Swapped: ar->in | Result: stinted
Original: dudes | Swapped: de->ma | Result: dumas
Original: claps | Swapped: la->or | Result: corps
Original: claps | Swapped: la->ri | Result: crips
Original: artfilms | Swapped: il->or | Result: artforms
Original: bolas | Swapped: la->ne | Result: bones
Original: bolas | Swapped: la->nd | Result: bonds
Original: bolas | Swapped: la->ok | Result: books
Original: bolas | Swapped: la->or | Result: boors
Original: bolas | Swapped: la->ri | Result: boris
Original: bolas | Swapped: la->sc | Result: boscs
Original: bolas | Swapped: la->ut | Result: bouts
Original: broke | Swapped: ok->ut | Result: brute
Original: colada | Swapped: la->mi | Result: comida
Original: declared | Swapped: ar->in | Result: declined
Original: bakers | Swapped: ak->or | Result: borers
Original: bakers | Swapped: ak->ri | Result: briers
Original: tilts | Swapped: il->or | Result: torts
Original: tilts | Swapped: il->wi | Result: twits
Original: convicted | Swapped: ct->nc | Result: convinced
Original: oilspot | Swapped: il->ne | Result: onespot
Original: tycoon | Swapped: co->ri | Result: tyrion
Original: hardness | Swapped: ne->pa | Result: hardpass
Original: portals | Swapped: al->ia | Result: portias
Original: moiling | Swapped: il->or | Result: mooring
Original: oiled | Swapped: il->oh | Result: oohed
Original: oiled | Swapped: il->ut | Result: outed
Original: mandel | Swapped: nd->ri | Result: mariel
Original: detracts | Swapped: ct->in | Result: detrains
Original: manes | Swapped: ne->ri | Result: maris
Original: farmed | Swapped: ar->il | Result: filmed
Original: farmed | Swapped: ar->la | Result: flamed
Original: males | Swapped: al->in | Result: mines
Original: males | Swapped: al->or | Result: mores
Original: males | Swapped: al->ut | Result: mutes
Original: remolds | Swapped: mo->wi | Result: rewilds
Original: getwindof | Swapped: in->or | Result: getwordof
Original: appealing | Swapped: al->nd | Result: appending
Original: scaledup | Swapped: ca->id | Result: sidledup
Original: laurier | Swapped: ri->tn | Result: lautner
Original: winksat | Swapped: in->or | Result: worksat
Original: emiles | Swapped: il->mi | Result: emmies
Original: parrot | Swapped: ar->in | Result: pinrot
Original: bailing | Swapped: il->nd | Result: banding
Original: appealto | Swapped: al->nd | Result: appendto
Original: barging | Swapped: ar->il | Result: bilging
Original: barging | Swapped: ar->in | Result: binging
Original: scotty | Swapped: co->mi | Result: smitty
Original: flounder | Swapped: nd->ri | Result: flourier
Original: regale | Swapped: al->ga | Result: reggae
Original: linen | Swapped: in->or | Result: loren
Original: roared | Swapped: ar->id | Result: roided
Original: roared | Swapped: ar->il | Result: roiled
Original: roared | Swapped: ar->ok | Result: rooked
Original: roared | Swapped: ar->ut | Result: routed
Original: compiled | Swapped: il->ut | Result: computed
Original: widdles | Swapped: id->or | Result: wordles
Original: clamping | Swapped: la->ri | Result: crimping
Original: icons | Swapped: co->va | Result: ivans
Original: inhiding | Swapped: hi->va | Result: invading
Original: carting | Swapped: ar->ut | Result: cutting
Original: glaze | Swapped: az->id | Result: glide
Original: glaze | Swapped: az->ut | Result: glute
Original: adder | Swapped: de->wa | Result: adwar
Original: rears | Swapped: ar->in | Result: reins
Original: rears | Swapped: ar->nd | Result: rends
Original: baler | Swapped: al->or | Result: borer
Original: baler | Swapped: al->ri | Result: brier
Original: takeout | Swapped: ak->or | Result: toreout
Original: shippedout | Swapped: hi->wa | Result: swappedout
Original: pricedecrease | Swapped: de->in | Result: priceincrease
Original: spearer | Swapped: ar->ct | Result: specter
Original: spearer | Swapped: ar->nc | Result: spencer
Original: spearer | Swapped: ar->nd | Result: spender
Original: geodes | Swapped: de->id | Result: geoids
Original: opensince | Swapped: in->pa | Result: openspace
Original: jilted | Swapped: il->ut | Result: jutted
Original: minable | Swapped: in->ut | Result: mutable
Original: smarting | Swapped: ar->ut | Result: smutting
Original: marnie | Swapped: ar->in | Result: minnie
Original: carmel | Swapped: me->pa | Result: carpal
Original: chiders | Swapped: hi->in | Result: cinders
Original: chiders | Swapped: id->ok | Result: chokers
Original: teaks | Swapped: ak->nd | Result: tends
Original: sorts | Swapped: or->pa | Result: spats
Original: sorts | Swapped: or->wa | Result: swats
Original: early | Swapped: ar->mi | Result: emily
Original: realales | Swapped: al->sc | Result: rescales
Original: smore | Swapped: mo->pa | Result: spare
Original: flared | Swapped: ar->ut | Result: fluted
Original: acids | Swapped: id->me | Result: acmes
Original: scots | Swapped: co->il | Result: silts
Original: scots | Swapped: co->la | Result: slats
Original: scots | Swapped: co->mi | Result: smits
Original: scots | Swapped: co->or | Result: sorts
Original: scots | Swapped: co->pa | Result: spats
Original: scots | Swapped: co->wa | Result: swats
Original: fidgets | Swapped: id->or | Result: forgets
Original: amilate | Swapped: la->ri | Result: amirite
Original: reined | Swapped: in->nd | Result: rended
Original: rakes | Swapped: ak->id | Result: rides
Original: rakes | Swapped: ak->il | Result: riles
Original: torte | Swapped: or->ri | Result: trite
Original: torte | Swapped: or->ut | Result: tutte
Original: clasper | Swapped: la->ri | Result: crisper
Original: trafficcone | Swapped: co->la | Result: trafficlane
Original: carle | Swapped: ar->hi | Result: chile
Original: silky | Swapped: il->mo | Result: smoky
Original: slamming | Swapped: la->wi | Result: swimming
Original: actor | Swapped: ct->nd | Result: andor
Original: shorting | Swapped: or->ut | Result: shutting
Original: slack | Swapped: la->mo | Result: smock
Original: stalkiest | Swapped: al->in | Result: stinkiest
Original: thecat | Swapped: ca->me | Result: themet
Original: thecat | Swapped: ca->ne | Result: thenet
Original: presalt | Swapped: al->or | Result: presort
Original: clinched | Swapped: in->ut | Result: clutched
Original: cameo | Swapped: me->nd | Result: cando
Original: frails | Swapped: il->me | Result: frames
Original: frails | Swapped: il->nc | Result: francs
Original: prison | Swapped: ri->ut | Result: putson
Original: edgecase | Swapped: ca->wi | Result: edgewise
Original: barres | Swapped: ar->la | Result: blares
Original: decoys | Swapped: co->la | Result: delays
Original: bonders | Swapped: nd->ok | Result: bookers
Original: bonders | Swapped: nd->wy | Result: bowyers
Original: shied | Swapped: hi->id | Result: sided
Original: curares | Swapped: ar->ri | Result: curries
Original: sidearm | Swapped: id->or | Result: sorearm
Original: ninthward | Swapped: in->or | Result: northward
Original: chipping | Swapped: hi->la | Result: clapping
Original: clasps | Swapped: la->ri | Result: crisps
Original: talent | Swapped: al->or | Result: torent
Original: gazed | Swapped: az->or | Result: gored
Original: contracts | Swapped: ct->il | Result: contrails
Original: parties | Swapped: ar->ut | Result: putties
Original: spoiled | Swapped: il->ok | Result: spooked
Original: spoiled | Swapped: il->or | Result: spoored
Original: spoiled | Swapped: il->ut | Result: spouted
Original: spicas | Swapped: ca->ne | Result: spines
Original: salles | Swapped: al->ca | Result: scales
Original: salles | Swapped: al->id | Result: sidles
Original: salles | Swapped: al->mi | Result: smiles
Original: salles | Swapped: al->wa | Result: swales
Original: planked | Swapped: la->ri | Result: prinked
Original: mideast | Swapped: de->sc | Result: miscast
Original: collars | Swapped: ar->in | Result: collins
Original: whiteoaks | Swapped: ak->ut | Result: whiteouts
Original: polyamory | Swapped: mo->nd | Result: polyandry
Original: badarea | Swapped: ar->id | Result: badidea
Original: codecs | Swapped: de->mi | Result: comics
Original: oarers | Swapped: ar->il | Result: oilers
Original: jammies | Swapped: mi->ok | Result: jamokes
Original: chorales | Swapped: al->in | Result: chorines
Original: bailsman | Swapped: il->nd | Result: bandsman
Original: quartic | Swapped: ar->in | Result: quintic
Original: justmiss | Swapped: mi->ne | Result: justness
Original: tamales | Swapped: al->mi | Result: tammies
Original: outlast | Swapped: la->mo | Result: outmost
Original: palmate | Swapped: al->ri | Result: primate
Original: saltfree | Swapped: al->co | Result: scotfree
Original: cortically | Swapped: or->ri | Result: critically
Original: singing | Swapped: in->wa | Result: swaging
Original: paring | Swapped: ar->il | Result: piling
Original: paring | Swapped: ar->in | Result: pining
Original: paring | Swapped: ar->ok | Result: poking
Original: oilmen | Swapped: me->pa | Result: oilpan
Original: scarps | Swapped: ar->ri | Result: scrips
Original: paling | Swapped: al->in | Result: pining
Original: paling | Swapped: al->ok | Result: poking
Original: paling | Swapped: al->or | Result: poring
Original: milos | Swapped: il->sd | Result: msdos
Original: parsed | Swapped: ar->ri | Result: prised
Original: defected | Swapped: ct->nd | Result: defended
Original: parter | Swapped: ar->in | Result: pinter
Original: parter | Swapped: ar->la | Result: plater
Original: parter | Swapped: ar->ut | Result: putter
Original: floorer | Swapped: or->ut | Result: flouter
Original: reines | Swapped: in->ne | Result: renees
Original: maleness | Swapped: al->or | Result: moreness
Original: maleness | Swapped: al->ut | Result: muteness
Original: malta | Swapped: al->ia | Result: miata
Original: slacks | Swapped: la->mo | Result: smocks
Original: nocover | Swapped: co->ne | Result: nonever
Original: tears | Swapped: ar->nd | Result: tends
Original: spinks | Swapped: in->or | Result: sporks
Original: morgans | Swapped: ga->mo | Result: mormons
Original: leaks | Swapped: ak->nd | Result: lends
Original: leaks | Swapped: ak->wi | Result: lewis
Original: degas | Swapped: ga->mo | Result: demos
Original: presale | Swapped: al->id | Result: preside
Original: poked | Swapped: ok->ri | Result: pried
Original: parts | Swapped: ar->in | Result: pints
Original: parts | Swapped: ar->ut | Result: putts
Original: odeon | Swapped: de->ri | Result: orion
Original: expiating | Swapped: ia->or | Result: exporting
Original: decoying | Swapped: co->la | Result: delaying
Original: veined | Swapped: in->nd | Result: vended
Original: shaky | Swapped: ak->in | Result: shiny
Original: blonder | Swapped: nd->wi | Result: blowier
Original: salut | Swapped: al->co | Result: scout
Original: jilts | Swapped: il->or | Result: jorts
Original: clacks | Swapped: la->ri | Result: cricks
Original: rearer | Swapped: ar->in | Result: reiner
Original: rearer | Swapped: ar->nd | Result: render
Original: walks | Swapped: al->in | Result: winks
Original: walks | Swapped: al->or | Result: works
Original: tokes | Swapped: ok->ri | Result: tries
Original: fearing | Swapped: ar->nc | Result: fencing
Original: fearing | Swapped: ar->nd | Result: fending
Original: odets | Swapped: de->mi | Result: omits
Original: hailed | Swapped: il->nd | Result: handed
Original: brazing | Swapped: az->in | Result: brining
Original: brazing | Swapped: az->ok | Result: broking
Original: damning | Swapped: mn->nc | Result: dancing
Original: rollinggait | Swapped: ga->in | Result: rollinginit
Original: reneger | Swapped: ne->wa | Result: rewager
Original: rakingin | Swapped: ak->id | Result: ridingin
Original: dared | Swapped: ar->in | Result: dined
Original: dared | Swapped: ar->ri | Result: dried
Original: jades | Swapped: de->il | Result: jails
Original: jades | Swapped: de->in | Result: jains
Original: jades | Swapped: de->va | Result: javas
Original: jades | Swapped: de->wa | Result: jawas
Original: ruthie | Swapped: hi->il | Result: rutile
Original: marline | Swapped: ar->id | Result: midline
Original: scorching | Swapped: co->mi | Result: smirching
Original: braids | Swapped: id->va | Result: bravas
Original: blackart | Swapped: ar->ca | Result: blackcat
Original: charly | Swapped: ar->il | Result: chilly
Original: bunco | Swapped: nc->tn | Result: butno
Original: uncovering | Swapped: co->wa | Result: unwavering
Original: starker | Swapped: ar->in | Result: stinker
Original: starker | Swapped: ar->ri | Result: striker
Original: lathis | Swapped: hi->in | Result: latins
Original: grains | Swapped: in->nd | Result: grands
Original: calms | Swapped: al->la | Result: clams
Original: toils | Swapped: il->me | Result: tomes
Original: toils | Swapped: il->ne | Result: tones
Original: toils | Swapped: il->ny | Result: tonys
Original: toils | Swapped: il->ut | Result: touts
Original: placed | Swapped: la->ri | Result: priced
Original: realer | Swapped: al->in | Result: reiner
Original: realer | Swapped: al->nd | Result: render
Original: chipboards | Swapped: hi->la | Result: clapboards
Original: brainers | Swapped: in->nd | Result: branders
Original: clatter | Swapped: la->ri | Result: critter
Original: sparer | Swapped: ar->id | Result: spider
Original: sparer | Swapped: ar->in | Result: spiner
Original: sparer | Swapped: ar->ri | Result: sprier
Original: glarers | Swapped: ar->id | Result: gliders
Original: shooks | Swapped: ok->ut | Result: shouts
Original: wentcold | Swapped: co->wi | Result: wentwild
Original: silty | Swapped: il->la | Result: slaty
Original: leakers | Swapped: ak->nd | Result: lenders
Original: anchored | Swapped: nc->ut | Result: authored
Original: chimp | Swapped: hi->la | Result: clamp
Original: lindy | Swapped: in->or | Result: lordy
Original: inkstains | Swapped: in->nd | Result: inkstands
Original: regards | Swapped: ar->il | Result: regilds
Original: tailings | Swapped: in->wa | Result: tailwags
Original: decider | Swapped: id->ri | Result: decrier
Original: parker | Swapped: ar->in | Result: pinker
Original: concoction | Swapped: co->ne | Result: connection
Original: barges | Swapped: ar->il | Result: bilges
Original: barges | Swapped: ar->in | Result: binges
Original: slake | Swapped: ak->id | Result: slide
Original: slake | Swapped: la->mo | Result: smoke
Original: minter | Swapped: in->ut | Result: mutter
Original: adman | Swapped: ma->or | Result: adorn
Original: tomahawk | Swapped: ma->ny | Result: tonyhawk
Original: bided | Swapped: id->or | Result: bored
Original: snaked | Swapped: ak->or | Result: snored
Original: scarum | Swapped: ar->ut | Result: scutum
Original: placer | Swapped: la->ri | Result: pricer
Original: cones | Swapped: ne->ok | Result: cooks
Original: cones | Swapped: ne->or | Result: coors
Original: parers | Swapped: ar->in | Result: piners
Original: parers | Swapped: ar->ok | Result: pokers
Original: parers | Swapped: ar->ri | Result: priers
Original: thehill | Swapped: hi->ma | Result: themall
Original: thehill | Swapped: hi->wa | Result: thewall
Original: seines | Swapped: in->ri | Result: series
Original: despoiling | Swapped: il->nd | Result: desponding
Original: blares | Swapped: ar->ok | Result: blokes
Original: lores | Swapped: or->ut | Result: lutes
Original: flatter | Swapped: la->ri | Result: fritter
Original: giant | Swapped: ia->ri | Result: grint
Original: smelled | Swapped: me->wi | Result: swilled
Original: conceals | Swapped: al->de | Result: concedes
Original: oksana | Swapped: ks->ri | Result: oriana
Original: marled | Swapped: ar->il | Result: milled
Original: plame | Swapped: la->ri | Result: prime
Original: scares | Swapped: ca->hi | Result: shires
Original: scares | Swapped: ca->mo | Result: smores
Original: smelling | Swapped: me->wi | Result: swilling
Original: soaking | Swapped: ak->il | Result: soiling
Original: spycar | Swapped: ca->de | Result: spyder
Original: irina | Swapped: ri->va | Result: ivana
Original: brazenness | Swapped: az->ok | Result: brokenness
Original: coinbook | Swapped: in->ok | Result: cookbook
Original: barkers | Swapped: ar->il | Result: bilkers
Original: staining | Swapped: in->nd | Result: standing
Original: pomes | Swapped: me->nd | Result: ponds
Original: pomes | Swapped: me->or | Result: poors
Original: pomes | Swapped: me->ut | Result: pouts
Original: marking | Swapped: ar->il | Result: milking
Original: farmer | Swapped: ar->la | Result: flamer
Original: leaker | Swapped: ak->ct | Result: lecter
Original: leaker | Swapped: ak->nd | Result: lender
Original: since | Swapped: in->pa | Result: space
Original: plater | Swapped: la->or | Result: porter
Original: plater | Swapped: la->ut | Result: putter
Original: plumier | Swapped: mi->nd | Result: plunder
Original: founder | Swapped: nd->ri | Result: fourier
Original: norite | Swapped: ri->va | Result: novate
Original: roaring | Swapped: ar->il | Result: roiling
Original: roaring | Swapped: ar->ok | Result: rooking
Original: roaring | Swapped: ar->ut | Result: routing
Original: whimsey | Swapped: ms->tn | Result: whitney
Original: fiats | Swapped: ia->or | Result: forts
Original: tearer | Swapped: ar->nd | Result: tender
Original: whiners | Swapped: hi->in | Result: winners
Original: stinters | Swapped: in->ut | Result: stutters
Original: glazed | Swapped: az->id | Result: glided
Original: scorched | Swapped: co->mi | Result: smirched
Original: timid | Swapped: mi->ne | Result: tined
Original: scaling | Swapped: al->or | Result: scoring
Original: scaling | Swapped: ca->id | Result: sidling
Original: scaling | Swapped: ca->mi | Result: smiling
Original: reining | Swapped: in->nd | Result: rending
Original: elands | Swapped: la->me | Result: emends
Original: pinch | Swapped: in->or | Result: porch
Original: ligated | Swapped: ga->mi | Result: limited
Original: unmetered | Swapped: me->ut | Result: unuttered
Original: siders | Swapped: id->ne | Result: sneers
Original: rails | Swapped: il->mi | Result: ramis
Original: rails | Swapped: il->mo | Result: ramos
Original: stomas | Swapped: ma->ne | Result: stones
Original: stomas | Swapped: ma->ut | Result: stouts
Original: ideate | Swapped: de->nm | Result: inmate
Original: sideon | Swapped: de->mo | Result: simoon
Original: doubleboiling | Swapped: il->ok | Result: doublebooking
Original: glanders | Swapped: la->ri | Result: grinders
Original: pandl | Swapped: nd->pa | Result: papal
Original: spams | Swapped: pa->wi | Result: swims
Original: acting | Swapped: ct->id | Result: aiding
Original: acting | Swapped: ct->il | Result: ailing
Original: snakeplant | Swapped: la->ri | Result: snakeprint
Original: sailor | Swapped: il->nd | Result: sandor
Original: kidman | Swapped: id->or | Result: korman
Original: thecast | Swapped: ca->mo | Result: themost
Original: hayrake | Swapped: ak->id | Result: hayride
Original: records | Swapped: co->ga | Result: regards
Original: records | Swapped: co->wa | Result: rewards
Original: razing | Swapped: az->id | Result: riding
Original: razing | Swapped: az->il | Result: riling
Original: balds | Swapped: al->in | Result: binds
Original: spilt | Swapped: il->la | Result: splat
Original: spilt | Swapped: il->or | Result: sport
Original: spilt | Swapped: il->ri | Result: sprit
Original: cagily | Swapped: il->ne | Result: cagney
Original: onepoint | Swapped: ne->ut | Result: outpoint
Original: fazes | Swapped: az->il | Result: files
Original: fazes | Swapped: az->in | Result: fines
Original: fazes | Swapped: az->ri | Result: fries
Original: pilous | Swapped: il->or | Result: porous
Original: windless | Swapped: in->or | Result: wordless
Original: sarge | Swapped: ar->in | Result: singe
Original: sarge | Swapped: ar->wa | Result: swage
Original: demimonde | Swapped: nd->or | Result: demimoore
Original: deargod | Swapped: ar->mi | Result: demigod
Original: inland | Swapped: la->mi | Result: inmind
Original: homey | Swapped: me->ok | Result: hooky
Original: repining | Swapped: in->ut | Result: reputing
Original: smells | Swapped: me->pa | Result: spalls
Original: smells | Swapped: me->wi | Result: swills
Original: kills | Swapped: il->oh | Result: kohls
Original: cinques | Swapped: in->la | Result: claques
Original: dines | Swapped: in->ri | Result: dries
Original: dines | Swapped: ne->or | Result: diors
Original: dines | Swapped: ne->sc | Result: discs
Original: dines | Swapped: ne->va | Result: divas
Original: thingy | Swapped: hi->wa | Result: twangy
Original: brocades | Swapped: ca->mi | Result: bromides
Original: blearing | Swapped: ar->nd | Result: blending
Original: blade | Swapped: la->ri | Result: bride
Original: dinks | Swapped: in->or | Result: dorks
Original: blackmass | Swapped: ma->ne | Result: blackness
Original: eflat | Swapped: fl->nd | Result: endat
Original: saluted | Swapped: al->co | Result: scouted
Original: poors | Swapped: or->ut | Result: pouts
Original: thefly | Swapped: fl->or | Result: theory
Original: thefly | Swapped: fl->wa | Result: theway
Original: airmass | Swapped: ma->ne | Result: airness
Original: halos | Swapped: al->oh | Result: hohos
Original: plains | Swapped: in->ne | Result: planes
Original: pacas | Swapped: ca->il | Result: pails
Original: pacas | Swapped: ca->in | Result: pains
Original: pacas | Swapped: ca->ne | Result: panes
Original: pacas | Swapped: ca->ri | Result: paris
Original: walkshandinhand | Swapped: al->or | Result: workshandinhand
Original: airily | Swapped: il->wa | Result: airway
Original: shiva | Swapped: hi->il | Result: silva
Original: hoard | Swapped: ar->me | Result: homed
Original: hoard | Swapped: ar->ne | Result: honed
Original: tamely | Swapped: me->ut | Result: tautly
Original: wearer | Swapped: ar->in | Result: weiner
Original: staler | Swapped: al->ok | Result: stoker
Original: staler | Swapped: al->or | Result: storer
Original: romaine | Swapped: in->nc | Result: romance
Original: romaine | Swapped: ma->ut | Result: routine
Original: comein | Swapped: me->ok | Result: cookin
Original: thearts | Swapped: ar->me | Result: themets
Original: thearts | Swapped: ar->ne | Result: thenets
Original: thearts | Swapped: ar->pa | Result: thepats
Original: tarted | Swapped: ar->il | Result: tilted
Original: tarted | Swapped: ar->in | Result: tinted
Original: tarted | Swapped: ar->ut | Result: tutted
Original: spodes | Swapped: de->il | Result: spoils
Original: spodes | Swapped: de->ok | Result: spooks
Original: spodes | Swapped: de->or | Result: spoors
Original: spodes | Swapped: de->ut | Result: spouts
Original: protects | Swapped: ct->in | Result: proteins
Original: machinecode | Swapped: co->ma | Result: machinemade
Original: cocooning | Swapped: co->nd | Result: condoning
Original: marla | Swapped: ar->il | Result: milla
Original: lakist | Swapped: ak->ut | Result: lutist
Original: soiler | Swapped: il->ut | Result: souter
Original: spammer | Swapped: pa->wi | Result: swimmer
Original: doubleboiled | Swapped: il->ok | Result: doublebooked
Original: bactrian | Swapped: ct->va | Result: bavarian
Original: searover | Swapped: ar->nd | Result: sendover
Original: walkup | Swapped: al->or | Result: workup
Original: wander | Swapped: nd->ri | Result: warier
Original: racoon | Swapped: co->il | Result: railon
Original: racoon | Swapped: co->in | Result: rainon
Original: racoon | Swapped: co->ms | Result: ramson
Original: whalers | Swapped: al->in | Result: whiners
Original: stales | Swapped: al->id | Result: stides
Original: stales | Swapped: al->ok | Result: stokes
Original: stales | Swapped: al->or | Result: stores
Original: retint | Swapped: in->or | Result: retort
Original: straining | Swapped: in->nd | Result: stranding
Original: chalked | Swapped: al->in | Result: chinked
Original: vamos | Swapped: mo->ne | Result: vanes
Original: speaking | Swapped: ak->nd | Result: spending
Original: blackarts | Swapped: ar->ca | Result: blackcats
Original: paler | Swapped: al->ok | Result: poker
Original: salad | Swapped: al->ne | Result: snead
Original: ablative | Swapped: la->or | Result: abortive
Original: ramon | Swapped: mo->ri | Result: rarin
Original: amaretti | Swapped: ma->nd | Result: andretti
Original: centare | Swapped: ar->il | Result: centile
Original: black | Swapped: la->ri | Result: brick
Original: ladings | Swapped: in->ma | Result: ladmags
Original: suspected | Swapped: ct->nd | Result: suspended
Original: smarted | Swapped: ar->ut | Result: smutted
Original: seeinto | Swapped: in->ks | Result: seeksto
Original: seeinto | Swapped: in->ms | Result: seemsto
Original: wailers | Swapped: il->nd | Result: wanders
Original: biogas | Swapped: ga->me | Result: biomes
Original: torus | Swapped: or->ut | Result: tutus
Original: warded | Swapped: ar->in | Result: winded
Original: tagine | Swapped: in->or | Result: tagore
Original: relaxed | Swapped: la->mi | Result: remixed
Original: mines | Swapped: in->or | Result: mores
Original: mines | Swapped: in->ut | Result: mutes
Original: stints | Swapped: in->pa | Result: stpats
Original: tinting | Swapped: in->ut | Result: tutting
Original: gains | Swapped: in->la | Result: galas
Original: gains | Swapped: in->me | Result: games
Original: deadmen | Swapped: me->pa | Result: deadpan
Original: realtor | Swapped: al->la | Result: relator
Original: smirker | Swapped: mi->pa | Result: sparker
Original: whiting | Swapped: hi->il | Result: wilting
Original: paroles | Swapped: ar->in | Result: pinoles
Original: oilseed | Swapped: il->ne | Result: oneseed
Original: razes | Swapped: az->id | Result: rides
Original: razes | Swapped: az->il | Result: riles
Original: legato | Swapped: ga->nd | Result: lendto
Original: marked | Swapped: ar->il | Result: milked
Original: generis | Swapped: ri->va | Result: genevas
Original: medals | Swapped: al->ia | Result: medias
Original: flails | Swapped: il->me | Result: flames
Original: shinned | Swapped: hi->pa | Result: spanned
Original: shinned | Swapped: hi->wa | Result: swanned
Original: shinned | Swapped: in->ri | Result: shrined
Original: chides | Swapped: de->va | Result: chivas
Original: chides | Swapped: id->ok | Result: chokes
Original: chides | Swapped: id->or | Result: chores
Original: chides | Swapped: id->ut | Result: chutes
Original: limey | Swapped: me->nd | Result: lindy
Original: applecider | Swapped: id->or | Result: applecorer
Original: sarges | Swapped: ar->in | Result: singes
Original: sarges | Swapped: ar->wa | Result: swages
Original: groined | Swapped: in->ut | Result: grouted
Original: shingling | Swapped: hi->pa | Result: spangling
Original: reiners | Swapped: in->nd | Result: renders
Original: reiners | Swapped: in->ut | Result: reuters
Original: loins | Swapped: in->ok | Result: looks
Original: loins | Swapped: in->ri | Result: loris
Original: loins | Swapped: in->ut | Result: louts
Original: scorch | Swapped: co->mi | Result: smirch
Original: warms | Swapped: ar->hi | Result: whims
Original: braining | Swapped: in->nd | Result: branding
Original: walkedaround | Swapped: al->or | Result: workedaround
Original: takingover | Swapped: ak->id | Result: tidingover
Original: peals | Swapped: al->co | Result: pecos
Original: peals | Swapped: al->nd | Result: pends
Original: beals | Swapped: al->in | Result: beins
Original: beals | Swapped: al->ne | Result: benes
Original: beals | Swapped: al->nd | Result: bends
Original: ensiling | Swapped: il->ky | Result: enskying
Original: aware | Swapped: ar->ok | Result: awoke
Original: standee | Swapped: de->in | Result: stanine
Original: lacasa | Swapped: ca->me | Result: lamesa
Original: windier | Swapped: in->or | Result: wordier
Original: sinking | Swapped: in->la | Result: slaking
Original: sinking | Swapped: in->mo | Result: smoking
Original: splintered | Swapped: in->ut | Result: spluttered
Original: seeder | Swapped: de->ga | Result: seegar
Original: talus | Swapped: al->or | Result: torus
Original: talus | Swapped: al->ut | Result: tutus
Original: fashioning | Swapped: in->ma | Result: fashionmag
Original: pinter | Swapped: in->la | Result: plater
Original: pinter | Swapped: in->or | Result: porter
Original: pinter | Swapped: in->ut | Result: putter
Original: gainly | Swapped: in->me | Result: gamely
Original: wider | Swapped: id->ri | Result: wrier
Original: scoters | Swapped: co->in | Result: sinters
Original: scoters | Swapped: co->la | Result: slaters
Original: scoters | Swapped: co->or | Result: sorters
Original: scoters | Swapped: co->ut | Result: sutters
Original: warps | Swapped: ar->hi | Result: whips
Original: brocade | Swapped: ca->mi | Result: bromide
Original: pearling | Swapped: ar->ri | Result: periling
Original: ectoderm | Swapped: ct->nd | Result: endoderm
Original: woodlands | Swapped: la->wi | Result: woodwinds
Original: jamescaan | Swapped: ca->de | Result: jamesdean
Original: paint | Swapped: in->wa | Result: pawat
Original: halsey | Swapped: al->or | Result: horsey
Original: fortes | Swapped: or->ri | Result: frites
Original: snaker | Swapped: ak->id | Result: snider
Original: snaker | Swapped: ak->or | Result: snorer
Original: clacton | Swapped: ct->ri | Result: clarion
Original: simians | Swapped: ia->mo | Result: simmons
Original: baller | Swapped: al->ut | Result: butler
Original: raines | Swapped: in->mi | Result: ramies
Original: raines | Swapped: in->ms | Result: ramses
Original: goldman | Swapped: ma->wy | Result: goldwyn
Original: boors | Swapped: or->ri | Result: boris
Original: boors | Swapped: or->sc | Result: boscs
Original: boors | Swapped: or->ut | Result: bouts
Original: wades | Swapped: de->il | Result: wails
Original: wades | Swapped: de->nd | Result: wands
Original: nohits | Swapped: hi->ne | Result: nonets
Original: heine | Swapped: in->nc | Result: hence
Original: stride | Swapped: id->ok | Result: stroke
Original: widen | Swapped: id->ok | Result: woken
Original: unmapped | Swapped: ma->ri | Result: unripped
Original: bigman | Swapped: ma->wi | Result: bigwin
Original: paley | Swapped: al->in | Result: piney
Original: paley | Swapped: al->ok | Result: pokey
Original: scoffers | Swapped: co->wi | Result: swiffers
Original: salmis | Swapped: al->wa | Result: swamis
Original: shippers | Swapped: hi->la | Result: slappers
Original: spyship | Swapped: hi->wa | Result: spyswap
Original: whining | Swapped: hi->in | Result: winning
Original: oakcask | Swapped: ca->de | Result: oakdesk
Original: achiness | Swapped: hi->id | Result: acidness
Original: micas | Swapped: ca->me | Result: mimes
Original: micas | Swapped: ca->ne | Result: mines
Original: micas | Swapped: ca->nd | Result: minds
Original: recons | Swapped: co->ma | Result: remans
Original: illness | Swapped: ne->pa | Result: illpass
Original: incash | Swapped: ca->me | Result: inmesh
Original: flakier | Swapped: ak->ut | Result: flutier
